Day,Date,Value,Name,Measure
4,2019-10-16,2.50999999046326,Inovio Pharmaceuticals,Adj_Close
4,2019-10-16,2.50999999046326,Inovio Pharmaceuticals,Close
4,2019-10-16,41.4357986450195,Astrazeneca,Adj_Close
4,2019-10-16,43.9900016784668,Astrazeneca,Open
4,2019-10-16,914100,Moderna,Volume
4,2019-10-16,12.9399995803833,BioNTech,Adj_Close
4,2019-10-16,4.71000003814697,Novavax,Low
4,2019-10-16,13.8800001144409,BioNTech,High
4,2019-10-16,136.589996337891,Johnson & Johnson,High
4,2019-10-16,14.2700004577637,Moderna,Open
4,2019-10-16,2.54999995231628,Inovio Pharmaceuticals,High
4,2019-10-16,2.23000001907349,Inovio Pharmaceuticals,Low
5,2019-10-17,2.50999999046326,Inovio Pharmaceuticals,Open
5,2019-10-17,14.2299995422363,Moderna,Open
5,2019-10-17,13.2399997711182,BioNTech,Open
5,2019-10-17,2.35999989509583,Inovio Pharmaceuticals,Adj_Close
5,2019-10-17,4.78000020980835,Novavax,Open
5,2019-10-17,4.55000019073486,Novavax,Low
5,2019-10-17,2.35999989509583,Inovio Pharmaceuticals,Close
5,2019-10-17,4.78999996185303,Novavax,High
5,2019-10-17,2.51999998092651,Inovio Pharmaceuticals,High
5,2019-10-17,8434000,Johnson & Johnson,Volume
5,2019-10-17,4.63000011444092,Novavax,Adj_Close
5,2019-10-17,413000,BioNTech,Volume
5,2019-10-17,44.3199996948242,Astrazeneca,Open
5,2019-10-17,13,BioNTech,Adj_Close
5,2019-10-17,13,BioNTech,Close
5,2019-10-17,14.539999961853,Moderna,Close
5,2019-10-17,2431500,Astrazeneca,Volume
5,2019-10-17,4.63000011444092,Novavax,Close
5,2019-10-17,43.9700012207031,Astrazeneca,Low
5,2019-10-17,2.25999999046326,Inovio Pharmaceuticals,Low
5,2019-10-17,135.960006713867,Johnson & Johnson,Open
5,2019-10-17,137.490005493164,Johnson & Johnson,High
5,2019-10-17,14.539999961853,Moderna,Adj_Close
